"Reference","Value","Qty","#","PN","PN LSCS"
"BT1","Battery_Cell","1","1","",""
"C1","33nF","1","2","CL10B333KB8NNNC",""
"C2","100nF","1","3","CC0603KRX7R9BB104",""
"C3","10nF","1","4","CL21B103KBANNNC",""
"C7,C8,C9,C10,C111,C112,C139,C140,C141,C144","10u","10","5","CL31A106KBHNNNE",""
"C11,C79,C101,C102,C104,C106,C108,C128","1u","8","6","CL10A105KB8NNNC",""
"C12,C14","10n","2","7","0603B103K500NT",""
"C13,C29","100n","2","8","CC0603KRX7R9BB104",""
"C15,C16,C137,C138","47p","4","9","0402CG470J500NT",""
"C17,C21,C24,C25,C27","1u","5","10","CL05A105KA5NQNC",""
"C18,C20,C22,C23,C26,C28,C30,C31,C81,C82,C83,C84,C86,C87,C88,C89,C91,C92,C93,C94,C97,C98,C99,C100","100n","24","11","CL05B104KO5NNNC",""
"C19","33n","1","12","CC0402KRX7R9BB333",""
"C32","1u","1","13","CL10A105KB8NNNC",""
"C55,C105","56u","2","14","EEH-AZF1H560B",""
"C56,C57,C58,C59,C62,C63,C64,C65,C66,C68,C74,C76,C78,C80,C85,C90,C95,C96,C109,C151,C152,C163,C164","100n","23","15","CC0603KRX7R9BB104",""
"C60,C61,C67,C71,C75","4.7u","5","16","CGA3E2X7R1H103M080AA",""
"C69,C70","33p","2","17","GCM1555C1H330JA16D",""
"C72,C73","2.2u","2","18","CL10A225KO8NNNC",""
"C77,C103,C113","4.7u","3","19","CL10A475KO8NNNC",""
"C107,C130,C142,C143,C145,C146,C147,C148,C149,C150,C153,C154,C155,C156,C165,C166,C167,C168","10n","18","20","0603B103K500NT",""
"C110,C135,C136","330p","3","21","CL05C331JB5NNNC",""
"C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126","1n","13","22","CL10B102KB8NNNC",""
"C129","100n","1","23","0603B103K500NT",""
"C131,C132","3.3n","2","24","CL21B332KBANNNC",""
"C133,C134","680p","2","25","0603B681K500NT",""
"D1,D7,D13,D14,D15,D16,D27,D28","D_Schottky","8","26","SS34A",""
"D2","D_Schottky","1","27","SS54",""
"D3","RED","1","28","KT-0603R",""
"D4,D19","GREEN","2","29","19-217/GHC-YR1S2/3T",""
"D5","BLUE","1","30","19-217/BHC-ZL1M2RY/3T",""
"D6","NUP2105L","1","31","NUP2105L",""
"D8","BYG23M","1","32","BYG23M-E3/TR",""
"D17,D18,D24","schottky","3","33","B5819W SL",""
"D26","SM15T33CA","1","34","SMCJ30CA",""
"D29,D30","PESD1CAN-UX","2","35","PESD1CAN,215",""
"FB1","Ferrite_Bead","1","36","GZ2012D101TF",""
"J1,J2,J3","Conn_01x01","3","37","",""
"J4","Conn_01x35","1","38","776231-1",""
"J5","Conn_01x35","1","39","776231-2",""
